error	T	X	num_trees	sample_subset	feat_subset
0.0658	0.01	5	25		500		15
0.0664	0.01	10	25		500		15
0.0658	0.01	25	25		500		15
0.0664	0.001	5	25		500		15
0.0664	0.001	10	25		500		15
0.0671	0.001	25	25		500		15
0.0677	0.01	5	25		500		30
0.0677	0.01	10	25		500		30
0.0677	0.01	25	25		500		30
0.0690	0.001	5	25		500		30
0.0684	0.001	10	25		500		30
0.0697	0.001	25	25		500		30
0.0684	0.01	5	25		500		45
0.0690	0.01	10	25		500		45
0.0677	0.01	25	25		500		45
0.0684	0.001	5	25		500		45
0.0677	0.001	10	25		500		45
0.0690	0.001	25	25		500		45
0.0677	0.01	5	25		1000		15
0.0671	0.01	10	25		1000		15
0.0658	0.01	25	25		1000		15
0.0671	0.001	5	25		1000		15
0.0664	0.001	10	25		1000		15
0.0671	0.001	25	25		1000		15
0.0671	0.01	5	25		1000		30
0.0671	0.01	10	25		1000		30
0.0671	0.01	25	25		1000		30
0.0664	0.001	5	25		1000		30
0.0658	0.001	10	25		1000		30
0.0664	0.001	25	25		1000		30
0.0651	0.01	5	25		1000		45
0.0645	0.01	10	25		1000		45
0.0638	0.01	25	25		1000		45
0.0632	0.001	5	25		1000		45
0.0632	0.001	10	25		1000		45
0.0638	0.001	25	25		1000		45
0.0632	0.01	5	25		2000		15
0.0618	0.01	10	25		2000		15
0.0638	0.01	25	25		2000		15
0.0625	0.001	5	25		2000		15
0.0618	0.001	10	25		2000		15
0.0632	0.001	25	25		2000		15
0.0625	0.01	5	25		2000		30
0.0612	0.01	10	25		2000		30
0.0612	0.01	25	25		2000		30
0.0612	0.001	5	25		2000		30
0.0612	0.001	10	25		2000		30
0.0605	0.001	25	25		2000		30
0.0605	0.01	5	25		2000		45
0.0605	0.01	10	25		2000		45
0.0599	0.01	25	25		2000		45
0.0579	0.001	5	25		2000		45
0.0592	0.001	10	25		2000		45
0.0579	0.001	25	25		2000		45
0.0579	0.01	5	50		500		15
0.0592	0.01	10	50		500		15
0.0592	0.01	25	50		500		15
0.0599	0.001	5	50		500		15
0.0592	0.001	10	50		500		15
0.0599	0.001	25	50		500		15
0.0599	0.01	5	50		500		30
0.0605	0.01	10	50		500		30
0.0599	0.01	25	50		500		30
